Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-30,9.3,17.05,9.3,11.3,112661
2007-12-03,12.3,12.3,10,10.15,21248
2007-12-04,9.8,10.1,9.21,9.3,14050
2007-12-05,9.5,10,9.3,9.64,15903
2007-12-06,9.8,9.8,9.39,9.41,5214
2007-12-07,9.5,9.6,9.34,9.55,11887
2007-12-10,9.7,9.7,9.27,9.54,3222
2007-12-11,9.3,9.3,8.71,9.01,2604
2007-12-12,8.82,9,8.8,8.88,1313
2007-12-13,8.9,8.9,8.36,8.89,7244
2007-12-14,9.03,9.03,8.39,9.02,4912
2007-12-17,8.27,8.88,8.15,8.25,3040
2007-12-18,8.4,8.95,8.4,8.95,2544
2007-12-19,9.1,9.25,8.9,9.18,1244
2007-12-20,9,9.05,8.55,9.05,2849
2007-12-21,9.2,9.2,8.78,9.05,705
2007-12-27,8.99,9,8.99,8.99,205
2007-12-28,8.5,9.4,8.5,9,4902
2008-01-02,9.39,9.39,9.35,9.35,366
2008-01-03,9.1,9.15,9.03,9.03,2252
2008-01-04,9.05,9.29,9.05,9.06,2287
2008-01-07,9.09,9.09,9.01,9.01,2702
2008-01-08,9.2,9.2,8.84,9.15,1331
2008-01-09,9.05,9.05,8.71,8.71,1176
2008-01-10,8.9,8.95,8.71,8.72,1077
2008-01-11,8.51,8.51,8.51,8.51,20
2008-01-14,8.68,9,8.25,8.75,4483
2008-01-15,8.83,8.83,8.7,8.7,1110
2008-01-16,8.8,8.8,8.25,8.25,362
2008-01-17,8.5,8.5,8.5,8.5,300
2008-01-18,8.6,8.6,8.32,8.32,520
2008-01-21,8.25,8.25,7.9,7.9,1020
2008-01-22,8.14,8.14,8.14,8.14,928
2008-01-23,8.14,8.65,7.83,8.65,933
2008-01-24,8.65,8.88,8.6,8.88,976
2008-01-25,9.05,9.05,9.05,9.05,143
2008-01-28,8.95,8.95,8.95,8.95,354
2008-01-29,9.29,9.29,9.2,9.2,225
2008-01-30,9.5,9.5,9.3,9.49,361
2008-01-31,9.5,9.5,9.14,9.14,750
2008-02-01,9.48,9.48,9.07,9.3,1294
2008-02-04,9.48,9.5,8.62,9.49,1667
2008-02-05,9.48,9.48,9.3,9.3,75
2008-02-06,9.3,9.3,9.3,9.3,1052
2008-02-07,9.48,9.57,9.48,9.57,220
2008-02-08,9.52,9.9,9.5,9.89,1240
2008-02-11,9.55,9.88,9.55,9.88,525
2008-02-12,9.8,9.8,9.59,9.71,1951
2008-02-13,9.7,9.7,9.3,9.3,2900
2008-02-14,9.55,9.55,9.55,9.55,950
2008-02-15,9.5,9.5,9.5,9.5,850
2008-02-18,9.5,9.54,9.5,9.5,10200
2008-02-19,9.5,9.5,9.5,9.5,650
2008-02-20,9.35,9.35,9.09,9.35,1165
2008-02-21,9.35,9.35,9.35,9.35,50
2008-02-22,9.35,9.35,9.33,9.33,17050
2008-02-25,8.75,9.35,8.75,9.35,450
2008-02-26,9.35,9.35,9.35,9.35,20
2008-02-27,9.35,9.35,9.35,9.35,200
2008-02-28,9.35,9.35,9.35,9.35,20
2008-02-29,9.35,9.35,8.9,9.3,1010
2008-03-03,9.2,9.2,8.75,9,11250
2008-03-04,9,9,8.75,8.75,1856
2008-03-05,8.8,9.22,8.8,9.22,350
2008-03-06,9.22,9.22,8.99,8.99,205
2008-03-07,8.7,8.95,8.22,8.95,3030
2008-03-10,8.94,8.94,8.94,8.94,20
2008-03-11,8.93,9.2,8.51,9.2,1023
2008-03-12,9.22,9.22,9,9.2,676
2008-03-13,9,9.2,9,9.2,597
2008-03-14,9.2,9.2,9.2,9.2,550
2008-03-17,9.2,9.2,9,9.18,371
2008-03-18,9.19,9.19,9.19,9.19,620
2008-03-19,9.19,9.19,9.19,9.19,805
2008-03-20,9.19,9.19,9.19,9.19,395
2008-03-25,9.2,9.21,9.2,9.21,1170
2008-03-26,9.23,9.23,9.22,9.22,1135
2008-03-27,9.02,9.1,9.02,9.03,7867
2008-03-28,9.1,9.17,9.1,9.17,3100
2008-03-31,9.23,9.23,9.22,9.22,420
2008-04-01,9.22,9.22,9,9,11050
2008-04-02,9.02,9.02,9.02,9.02,560
2008-04-03,9.02,9.02,8.85,9,1356
2008-04-04,9.02,9.02,9,9,10020
2008-04-07,9,9,9,9,5020
2008-04-08,9.02,9.02,9.02,9.02,320
2008-04-09,9.02,9.05,9.02,9.05,15520
2008-04-10,9.05,9.05,8.97,9.05,685
2008-04-11,9.06,9.06,9.05,9.06,220
2008-04-14,9.06,9.06,8.9,9.05,6889
2008-04-15,9.2,9.2,8.9,9.03,3940
