Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-12-18,21.4,24.884,18.912,19.907,29640
2018-12-19,20.903,20.903,18.096,18.106,6469
2018-12-20,18.106,18.106,16.324,17.718,2754
2018-12-21,16.921,19.35,16.921,19.35,2039
2018-12-27,19.808,19.808,18.016,18.355,1299
2018-12-28,18.265,18.812,17.718,18.713,1629
2019-01-02,19.061,19.061,17.917,18.812,367
2019-01-03,18.803,18.803,17.917,18.603,743
2019-01-04,18.603,18.603,17.917,17.917,1053
2019-01-07,17.917,18.394,17.917,18.375,997
2019-01-08,18.375,18.375,17.718,18.355,319
2019-01-09,18.315,18.603,17.917,18.603,525
2019-01-10,18.375,18.594,18.375,18.594,35
2019-01-11,17.947,18.544,17.817,18.544,801
2019-01-14,18.016,18.464,17.947,18.464,877
2019-01-15,18.484,18.793,18.215,18.753,1845
2019-01-16,18.743,18.812,18.414,18.812,1158
2019-01-17,18.613,18.912,18.613,18.912,2341
2019-01-18,18.912,20.704,18.912,20.335,8496
2019-01-21,20.405,21.4,20.335,21.181,1889
2019-01-22,21.002,21.201,20.345,20.704,1020
2019-01-23,20.704,20.982,19.071,20.903,2934
2019-01-24,20.953,22.396,20.953,22.097,1807
2019-01-25,21.898,26.278,21.898,24.785,6709
2019-01-28,24.765,27.074,23.441,25.78,8365
2019-01-29,25.86,27.87,24.884,27.87,10752
2019-01-30,27.671,28.368,26.527,26.875,3954
2019-01-31,26.527,26.626,24.884,26.377,5216
2019-02-01,26.377,26.377,25.382,25.87,2787
2019-02-04,25.88,26.775,25.87,25.87,2783
2019-02-05,25.581,26.676,25.382,26.666,1084
2019-02-06,27.124,27.174,26.328,27.124,1727
2019-02-07,27.124,27.124,25.382,26.865,1314
2019-02-08,25.322,26.168,25.282,26.168,777
2019-02-11,26.168,26.168,25.332,25.88,832
2019-02-12,25.282,26.556,24.884,26.556,929
2019-02-13,26.556,26.556,22.167,26.069,950
2019-02-14,26.467,28.408,26.029,26.477,12847
2019-02-15,26.477,28.089,26.079,28.089,3826
2019-02-18,28.487,28.487,27.572,27.622,1420
2019-02-19,27.87,28.368,26.875,28.368,2398
2019-02-20,28.069,29.463,27.97,28.866,8175
2019-02-21,28.697,28.697,27.93,28.697,482
2019-02-22,28.069,28.866,28.069,28.866,223
2019-02-25,28.856,28.856,28.368,28.856,373
2019-02-26,28.826,28.826,27.87,28.269,634
2019-02-27,27.99,28.169,27.194,27.87,364
2019-02-28,27.87,27.87,27.084,27.87,464
2019-03-01,27.87,28.249,27.492,28.249,2200
2019-03-04,28.249,29.861,27.87,27.87,2044
2019-03-05,28.269,28.368,27.87,28.368,980
2019-03-06,28.368,28.527,28.02,28.468,882
2019-03-07,28.269,28.269,27.442,27.87,244
2019-03-08,28.02,28.02,27.373,27.86,1038
2019-03-11,27.87,30.757,27.821,29.851,18285
2019-03-12,30.259,33.186,29.861,32.648,13246
2019-03-13,33.345,33.345,30.856,31.175,4455
2019-03-14,31.255,33.046,30.458,30.856,6977
2019-03-15,31.653,33.041,31.105,32.827,6904
2019-03-18,32.35,32.728,31.852,32.728,1530
2019-03-19,32.728,32.728,30.409,32.25,5175
2019-03-20,31.852,31.852,30.1,30.817,2500
2019-03-21,30.827,31.255,30.827,31.255,711
2019-03-22,30.667,30.667,29.363,30.558,2857
2019-03-25,30.837,30.837,29.025,29.861,1146
2019-03-26,29.861,31.454,29.075,31.454,1705
2019-03-27,31.155,31.155,29.314,29.851,1111
2019-03-28,29.762,30.637,29.373,30.06,1484
2019-03-29,30.16,31.056,29.642,30.06,1061
2019-04-01,30.06,30.06,28.667,29.164,4551
2019-04-02,29.463,29.463,27.97,28.368,5787
2019-04-03,30.856,30.856,26.875,28.169,15831
2019-04-04,28.567,28.567,27.373,28.269,4390
2019-04-05,28.269,28.269,27.472,28.269,3934
2019-04-08,27.87,28.468,27.472,28.169,2872
2019-04-09,27.671,29.762,27.671,28.866,4429
2019-04-10,29.363,29.363,28.866,29.065,408
2019-04-11,29.264,29.363,28.368,28.368,3154
2019-04-12,28.468,28.667,26.875,28.069,2406
2019-04-15,27.572,28.069,27.572,28.069,409
2019-04-16,27.671,27.97,27.472,27.97,1048
2019-04-17,27.87,27.87,27.472,27.472,2191
2019-04-18,27.572,27.87,27.174,27.87,1426
2019-04-23,27.87,28.667,27.87,28.667,1648
2019-04-24,28.368,28.468,28.269,28.468,383
2019-04-25,28.567,29.363,27.373,27.373,1045
2019-04-26,29.264,29.861,28.368,29.164,2528
2019-04-29,29.363,29.463,28.866,29.463,569
2019-04-30,29.463,30.558,28.866,30.558,1685
2019-05-02,29.861,30.558,28.965,29.861,640
2019-05-06,29.861,31.056,28.866,31.056,2720
2019-05-07,31.056,31.653,29.762,30.06,3633
2019-05-08,30.06,31.155,29.961,30.856,1300
2019-05-09,31.354,31.354,30.359,31.155,1941
2019-05-10,31.354,31.653,30.259,30.259,839
2019-05-13,30.856,31.155,30.856,30.856,617
2019-05-14,30.06,31.354,29.861,30.757,1941
2019-05-15,30.757,30.757,28.667,30.06,1661
2019-05-16,30.856,30.856,28.866,29.961,1066
2019-05-17,29.662,29.662,28.866,29.562,314
2019-05-20,29.861,29.861,28.069,28.567,1119
2019-05-21,28.667,28.667,26.477,28.269,1272
2019-05-22,28.069,28.766,27.273,28.766,599
2019-05-23,27.472,27.87,26.576,27.671,1046
2019-05-24,26.775,28.965,26.377,28.468,2894
2019-05-27,28.468,28.468,27.373,27.87,951
2019-05-28,27.87,27.87,26.875,27.671,1180
2019-05-29,26.775,27.572,26.775,27.572,360
2019-05-30,27.472,27.771,26.875,27.771,1347
2019-05-31,27.771,27.771,26.775,27.472,1647
2019-06-03,27.074,27.074,26.775,26.775,443
2019-06-04,26.875,26.875,25.88,26.875,531
2019-06-05,26.676,26.875,26.477,26.875,262
2019-06-06,26.576,26.576,26.079,26.377,918
2019-06-07,25.979,26.775,25.78,26.676,3666
2019-06-10,26.178,26.775,25.581,26.178,2571
2019-06-11,25.88,26.377,24.088,26.278,1469
2019-06-12,26.278,26.278,24.088,24.287,1905
2019-06-13,24.884,26.477,24.088,25.681,1303
2019-06-14,24.187,25.681,24.187,25.183,1032
2019-06-17,25.183,25.681,24.884,25.382,906
2019-06-18,25.382,25.78,24.884,25.78,1397
2019-06-19,25.382,25.88,24.984,24.984,1647
2019-06-21,26.377,26.377,24.685,25.382,2300
2019-06-24,24.884,24.884,24.387,24.884,990
2019-06-25,24.785,24.785,24.287,24.685,1134
2019-06-26,24.287,25.282,24.088,24.685,792
2019-06-27,24.187,24.884,24.187,24.884,408
2019-06-28,24.884,26.576,24.884,25.581,2097
2019-07-01,25.681,26.576,25.581,26.477,1265
