Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-10-19,47.691,47.782,43.374,46.123,61030
2016-10-20,45.938,46.123,44.333,46.123,7153
2016-10-21,45.293,46.123,45.274,46.076,1323
2016-10-24,46.123,48.891,46.067,48.373,9887
2016-10-25,48.429,48.429,47.045,48.152,8279
2016-10-26,47.968,47.968,46.584,46.584,1598
2016-10-27,47.045,47.045,45.661,47.036,291
2016-10-28,46.224,46.861,46.224,46.861,216
2016-10-31,46.123,47.959,46.123,47.95,1606
2016-11-02,47.959,47.968,46.917,47.875,567
2016-11-03,47.875,47.875,46.907,47.506,512
2016-11-04,47.414,47.414,46.352,47.045,135
2016-11-07,47.045,47.045,46.584,47.017,462
2016-11-08,47.017,47.017,46.372,46.677,51
2016-11-09,46.953,47.045,46.399,47.045,699
2016-11-10,47.045,47.045,45.938,46.769,1087
2016-11-14,47.045,47.045,46.953,46.953,129
2016-11-15,46.943,46.943,45.938,46.584,1407
2016-11-16,46.584,46.584,45.209,46.584,395
2016-11-17,46.953,46.953,45.016,45.016,909
2016-11-18,45.2,45.2,43.382,43.382,1769
2016-11-21,43.271,43.271,41.649,42.424,1593
2016-11-22,41.649,42.424,41.649,41.713,1251
2016-11-23,41.713,41.713,41.418,41.649,689
2016-11-24,41.695,41.695,37.923,41.049,7420
2016-11-25,41.713,43.356,41.049,43.346,879
2016-11-28,43.346,43.346,43.244,43.244,243
2016-11-29,43.264,44.924,42.432,44.738,5956
2016-11-30,44.738,46.584,43.816,46.123,3316
2016-12-01,46.123,46.123,44.093,46.123,370
2016-12-02,46.123,46.123,44.647,46.067,365
2016-12-05,46.076,46.076,44.738,44.785,117
2016-12-06,46.086,46.086,44.555,45.799,854
2016-12-07,45.799,45.799,44.655,45.744,200
2016-12-08,44.647,45.661,44.647,45.661,624
2016-12-09,45.744,45.744,44.629,45.651,583
2016-12-12,45.651,45.708,44.629,44.629,807
2016-12-13,44.629,46.104,44.629,45.651,921
2016-12-14,45.846,45.846,45.2,45.2,97
2016-12-15,45.2,45.2,44.647,45.2,292
2016-12-16,45.2,45.2,43.642,44.278,769
2016-12-19,42.719,45.007,42.488,44.647,4881
2016-12-20,43.264,44.738,43.264,44.268,335
2016-12-21,44.268,44.268,42.534,42.534,1602
2016-12-22,43.807,43.807,42.452,42.452,59
2016-12-23,42.886,42.886,42.432,42.664,1000
2016-12-27,42.71,43.604,42.11,43.595,1729
2016-12-28,43.356,43.356,42.11,42.802,706
2016-12-29,43.54,45.2,43.264,44.738,2702
2016-12-30,44.278,45.799,44.278,45.799,1979
2017-01-02,45.921,45.921,43.955,45.644,2576
2017-01-03,45.921,45.921,43.346,43.346,1056
2017-01-04,44.259,44.259,43.356,43.356,84
2017-01-05,43.356,44.13,42.432,42.432,2670
2017-01-09,42.432,42.893,42.432,42.461,742
2017-01-10,42.461,42.507,41.88,42.432,2378
2017-01-11,42.432,42.432,41.889,41.943,981
2017-01-12,42.34,42.34,41.049,41.787,1186
2017-01-13,42.34,42.34,41.068,41.511,689
2017-01-16,41.068,41.455,40.588,41.058,974
2017-01-17,41.095,41.095,40.311,40.357,1946
2017-01-18,40.357,40.496,40.219,40.496,308
2017-01-19,40.588,40.588,39.665,40.357,2077
2017-01-20,40.579,40.579,39.665,40.486,440
2017-01-23,40.569,40.569,39.665,40.477,427
2017-01-24,40.634,40.634,39.665,40.127,604
2017-01-25,39.684,40.127,39.481,39.757,1533
2017-01-26,40.681,41.04,39.785,41.04,364
2017-01-27,41.04,41.04,39.943,40.274,542
2017-01-30,39.785,41.335,39.785,41.326,2653
2017-01-31,41.326,45.108,41.326,43.402,3499
2017-02-01,43.346,44.268,43.346,44.241,1028
